Settings === Total time = 10000, Number of Nodes = 6, Speed = 10
Time	Node	Pos_X	Pos_Y
192	6	2725	1000
193	1	80	1000
193	2	660	1000
193	3	1240	1000
193	4	1540	1000
193	5	2120	1000
193	6	2700	1000
194	1	70	1000
194	2	640	1000
194	3	1210	1000
194	4	1535	1000
194	5	2105	1000
194	6	2675	1000
195	1	60	1000
195	2	620	1000
195	3	1180	1000
195	4	1530	1000
195	5	2090	1000
195	6	2650	1000
196	1	50	1000
196	2	600	1000
196	3	1150	1000
196	4	1525	1000
196	5	2075	1000
196	6	2625	1000
197	1	40	1000
197	2	580	1000
197	3	1120	1000
197	4	1520	1000
197	5	2060	1000
197	6	2600	1000
198	1	30	1000
198	2	560	1000
198	3	1090	1000
198	4	1515	1000
198	5	2045	1000
198	6	2575	1000
199	1	20	1000
199	2	540	1000
199	3	1060	1000
199	4	1510	1000
199	5	2030	1000
199	6	2550	1000
200	1	10	1000
200	2	520	1000
200	3	1030	1000
200	4	1505	1000
200	5	2015	1000
200	6	2525	1000
201	1	0	1000
201	2	500	1000
201	3	1000	1000
201	4	1500	1000
201	5	2000	1000
201	6	2500	1000
202	1	10	1000
202	2	520	1000
202	3	1030	1000
202	4	1505	1000
202	5	2015	1000
202	6	2525	1000
203	1	20	1000
203	2	540	1000
203	3	1060	1000
203	4	1510	1000
203	5	2030	1000
203	6	2550	1000
204	1	30	1000
204	2	560	1000
204	3	1090	1000
204	4	1515	1000
204	5	2045	1000
204	6	2575	1000
205	1	40	1000
205	2	580	1000
205	3	1120	1000
205	4	1520	1000
205	5	2060	1000
205	6	2600	1000
206	1	50	1000
206	2	600	1000
206	3	1150	1000
206	4	1525	1000
206	5	2075	1000
206	6	2625	1000
207	1	60	1000
207	2	620	1000
207	3	1180	1000
207	4	1530	1000
207	5	2090	1000
207	6	2650	1000
208	1	70	1000
208	2	640	1000
208	3	1210	1000
208	4	1535	1000
208	5	2105	1000
208	6	2675	1000
209	1	80	1000
209	2	660	1000
209	3	1240	1000
209	4	1540	1000
209	5	2120	1000
209	6	2700	1000
210	1	90	1000
210	2	680	1000
210	3	1270	1000
210	4	1545	1000
210	5	2135	1000
210	6	2725	1000
211	1	100	1000
211	2	700	1000
211	3	1300	1000
211	4	1550	1000
211	5	2150	1000
211	6	2750	1000
212	1	110	1000
212	2	720	1000
212	3	1330	1000
212	4	1555	1000
212	5	2165	1000
212	6	2775	1000
213	1	120	1000
213	2	740	1000
213	3	1360	1000
213	4	1560	1000
213	5	2180	1000
213	6	2800	1000
214	1	130	1000
214	2	760	1000
214	3	1390	1000
214	4	1565	1000
214	5	2195	1000
214	6	2825	1000
215	1	140	1000
215	2	780	1000
215	3	1420	1000
215	4	1570	1000
215	5	2210	1000
215	6	2850	1000
216	1	150	1000
216	2	800	1000
216	3	1450	1000
216	4	1575	1000
216	5	2225	1000
216	6	2875	1000
217	1	160	1000
217	2	820	1000
217	3	1480	1000
217	4	1580	1000
217	5	2240	1000
217	6	2900	1000
