Settings === Total time = 1200, Number of Nodes = 13, Speed = 20
Time	Node	Pos_X	Pos_Y
99	6	1960	8000
99	7	5000	3960
99	8	6960	2000
99	9	6960	4000
99	10	6960	6000
99	11	6960	8000
99	12	10000	3960
99	13	9940	2000
100	1	20	8000
100	2	0	3980
100	3	1980	2000
100	4	1980	4000
100	5	1980	6000
100	6	1980	8000
100	7	5000	3980
100	8	6980	2000
100	9	6980	4000
100	10	6980	6000
100	11	6980	8000
100	12	10000	3980
100	13	9920	2000
101	1	0	8000
101	2	0	4000
101	3	2000	2000
101	4	2000	4000
101	5	2000	6000
101	6	2000	8000
101	7	5000	4000
101	8	7000	2000
101	9	7000	4000
101	10	7000	6000
101	11	7000	8000
101	12	10000	4000
101	13	9900	2000
102	1	20	8000
102	2	0	4020
102	3	2020	2000
102	4	2020	4000
102	5	2020	6000
102	6	2020	8000
102	7	5000	4020
102	8	7020	2000
102	9	7020	4000
102	10	7020	6000
102	11	7020	8000
102	12	10000	4020
102	13	9920	2000
103	1	40	8000
103	2	0	4040
103	3	2040	2000
103	4	2040	4000
103	5	2040	6000
103	6	2040	8000
103	7	5000	4040
103	8	7040	2000
103	9	7040	4000
103	10	7040	6000
103	11	7040	8000
103	12	10000	4040
103	13	9940	2000
104	1	60	8000
104	2	0	4060
104	3	2060	2000
104	4	2060	4000
104	5	2060	6000
104	6	2060	8000
104	7	5000	4060
104	8	7060	2000
104	9	7060	4000
104	10	7060	6000
104	11	7060	8000
104	12	10000	4060
104	13	9960	2000
105	1	80	8000
105	2	0	4080
105	3	2080	2000
105	4	2080	4000
105	5	2080	6000
105	6	2080	8000
105	7	5000	4080
105	8	7080	2000
105	9	7080	4000
105	10	7080	6000
105	11	7080	8000
105	12	10000	4080
105	13	9980	2000
106	1	100	8000
106	2	0	4100
106	3	2100	2000
106	4	2100	4000
106	5	2100	6000
106	6	2100	8000
106	7	5000	4100
106	8	7100	2000
106	9	7100	4000
106	10	7100	6000
106	11	7100	8000
106	12	10000	4100
106	13	10000	2000
107	1	80	8000
107	2	0	4120
107	3	2120	2000
107	4	2120	4000
107	5	2120	6000
107	6	2120	8000
107	7	5000	4120
107	8	7120	2000
107	9	7120	4000
107	10	7120	6000
